,Brand,Model_Name,Model_Number,Original_Price,Offered_Price,Discount,Rating,Rating_Count,Sim_Size,Sim_Type,Tech_Category,Touch_Screen,Display_Size,PCam_Avl,Primary_Camera,SCam_avl,Secondary_Camera,Int_Memory,RAM,Expandable_Memory,Memory_Card_Type,Memory_Card_Slot,Battery
197,Redmi,Redmi 9 Prime,M2004J19I / M2004J19l,"11,999","10,815",9% off,4.3,"6,111 Ratings & 418 Reviews",,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP Rear Camera,Yes,,64 GB,4 GB,,,Hybrid Slot,5020 mAh
198,Redmi,Redmi 8A Dual,MZB8952IN / M2001C3K3I,"8,999","8,661",3% off,4.2,"10,342 Ratings & 702 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,15.8 cm (6.22 inch),Yes,13MP + 2MP,Yes,8MP Front Camera,32 GB,3 GB,512 GB,,Dedicated Slot,5000 mAh
199,Infinix,Hot 9 Pro,X655F,"12,999","10,499",19% off,4.4,"72,825 Ratings & 6,398 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.76 cm (6.6 inch),Yes,48 MP + 2 MP + 2 MP + Low Light Sensor,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
200,Infinix,Hot 9 Pro,X655F,"12,999","10,499",19% off,4.4,"72,825 Ratings & 6,398 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,16.76 cm (6.6 inch),Yes,48 MP + 2 MP + 2 MP + Low Light Sensor,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,5000 mAh
201,Blackzone,B312,B312,798,639,19% off,3.5,156 Ratings & 12 Reviews,All Types,Dual Sim,Feature Phones,No,4.57 cm (1.8 inch),Yes,0.3MP Rear Camera,,,10 MB,10 MB,32 GB,microSD,Dedicated Slot,1000 mAh
202,Realme,C15 Qualcomm Edition,RMX2195,"12,999","10,999",15% off,4.3,"22,434 Ratings & 1,450 Reviews",Nano,Dual Sim,Smartphones,Yes,16.56 cm (6.52 inch),Yes,13MP + 8MP + 2MP + 2MP,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,6000 mAh
203,Realme,C15 Qualcomm Edition,RMX2195,"12,999","10,999",15% off,4.3,"22,434 Ratings & 1,450 Reviews",Nano,Dual Sim,Smartphones,Yes,16.56 cm (6.52 inch),Yes,13MP + 8MP + 2MP + 2MP,Yes,8MP Front Camera,64 GB,4 GB,256 GB,microSD,Dedicated Slot,6000 mAh
204,Redmi,Redmi Note 9,M2003J15SI,"16,499","14,198",13% off,4.3,"11,892 Ratings & 872 Reviews",nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,48MP Rear Camera,Yes,,128 GB,4 GB,512 GB,microSD,Dedicated Slot,5020 mAh
205,Redmi,Redmi Note 9,M2003J15SI,"13,940","12,730",8% off,4.3,"11,892 Ratings & 872 Reviews",nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,48MP Rear Camera,Yes,,64 GB,4 GB,512 GB,microSD,Dedicated Slot,5020 mAh
206,Lava,A1 Josh,Lava_A1Lite,"1,099",865,21% off,4.2,"13,875 Ratings & 1,520 Reviews",Full Size Sim,Dual Sim,Feature Phones,No,4.57 cm (1.8 inch),,,,,1 KB,4 MB,,,Dedicated Slot,800 mAh
207,Lava,GEM,GEM,"1,699","1,599",5% off,4.2,"13,356 Ratings & 1,540 Reviews",Normal Sim,Dual Sim,Feature Phones,No,7.11 cm (2.8 inch),Yes,1.3MP Rear Camera,No,,512 MB,512 MB,32 GB,Micro Sim,Dedicated Slot,1750 mAh
208,Samsung,Galaxy M21,SM-M215FZKDINS / SM-M215F/DS / SM-M215FZK5INS,"15,999","13,765",13% off,4.3,"3,532 Ratings & 272 Reviews",,Dual Sim,Smartphones,Yes,16.26 cm (6.4 inch),Yes,48MP + 8MP + 5MP,Yes,20MP Front Camera,64 GB,4 GB,512 GB,microSDXC,Dedicated Slot,6000 mAh
209,POCO,M2,MZB9922IN,"14,999","12,499",16% off,4.3,"1,80,359 Ratings & 15,117 Reviews",Nano,Dual Sim,Smartphones,Yes,16.59 cm (6.53 inch),Yes,13MP + 8MP + 5MP + 2MP,Yes,8MP Front Camera,128 GB,6 GB,512 GB,microSD,Dedicated Slot,5000 mAh
210,Micromax,X746,X746,"1,289","1,289",1% off,4,"9,493 Ratings & 1,146 Reviews",,Dual Sim,Feature Phones,No,6.1 cm (2.4 inch),,0.3MP Rear Camera,,,32 MB,32 MB,,,Dedicated Slot,3000 mAh
211,Itel,Vision1,L6005,"8,299","6,699",19% off,4.1,"12,434 Ratings & 1,131 Reviews",Nano + Nano,Dual Sim,Smartphones,Yes,15.46 cm (6.088 inch),Yes,8MP + 0.3MP,Yes,5MP Front Camera,32 GB,3 GB,128 GB,microSD,Dedicated Slot,4000 mAh
212,Micromax,X746,X746,"1,334","1,334",1% off,4,"9,493 Ratings & 1,146 Reviews",,Dual Sim,Feature Phones,No,6.1 cm (2.4 inch),,0.3MP Rear Camera,,,32 MB,32 MB,,,Dedicated Slot,3000 mAh
213,Apple,iPhone 12,MGJ53HN/A,"79,900","79,900",,4.7,494 Ratings & 51 Reviews,Nano + eSIM,Dual Sim,Smartphones,Yes,15.49 cm (6.1 inch),Yes,12MP + 12MP,Yes,12MP Front Camera,64 GB,,,,,
214,Micromax,X378,X378,848,848,2% off,4,"3,519 Ratings & 290 Reviews",,Dual Sim,Feature Phones,No,4.5 cm (1.77 inch),,1MP Rear Camera,,,32 MB,32 MB,,,Dedicated Slot,800 mAh
215,Realme,C3,RMX2027,"8,999","8,999",,4.4,"1,23,540 Ratings & 9,373 Reviews",Dual Nano SIM,Dual Sim,Smartphones,Yes,16.56 cm (6.52 inch),Yes,12MP + 2MP,Yes,5MP Front Camera,32 GB,3 GB,256 GB,TF Card,Dedicated Slot,5000 mAh
216,Samsung,Galaxy M21,SM-M215FZKDINS / SM-M215F/DS / SM-M215FZK5INS,"15,999","13,765",13% off,4.3,"3,532 Ratings & 272 Reviews",,Dual Sim,Smartphones,Yes,16.26 cm (6.4 inch),Yes,48MP + 8MP + 5MP,Yes,20MP Front Camera,64 GB,4 GB,512 GB,microSDXC,Dedicated Slot,6000 mAh
217,Samsung,Guru FM Plus SM-B110E/D,SM-B110EABDINS,"1,662","1,662",,4.3,"52,409 Ratings & 5,491 Reviews",Full Size SIM,Dual Sim,Feature Phones,No,3.81 cm (1.5 inch),,,No,,NA,,,,,800 mAh
218,Apple,iPhone 12 Mini,MGE13HN/A,"69,900","69,900",,4.6,199 Ratings & 16 Reviews,Nano + eSIM,Dual Sim,Smartphones,Yes,13.72 cm (5.4 inch),Yes,12MP + 12MP,Yes,12MP Front Camera,64 GB,,,,,
